simulations	actions	length	tokens	accuracy
60	120	30	1240.53591160221	0.8314917127071824
55	45	16	1032.9419889502763	0.8038674033149171
45	50	16	991.0939226519337	0.8204419889502762
120	80	30	1342.0524861878453	0.8453038674033149
350	280	80	2185.085635359116	0.861878453038674
200	160	100	1635.7596685082874	0.8397790055248618
5	55	8	588.0359116022099	0.7486187845303868
55	15	8	809.9254143646409	0.6906077348066298
5	45	8	552.7734806629834	0.7403314917127072
600	600	300	3051.696132596685	0.8397790055248618
50	55	16	1017.232044198895	0.8287292817679558
15	55	4	704.439226519337	0.7707182320441989
700	530	260	3056.160220994475	0.8370165745856354
1150	800	430	5761.574585635359	0.8480662983425414
25	45	12	786.6353591160221	0.7817679558011049
60	60	30	1105.1823204419888	0.8370165745856354
25	25	4	719.3149171270718	0.7430939226519337
35	15	16	740.0414364640884	0.6878453038674033
45	15	4	755.3011049723757	0.6878453038674033
100	120	16	1364.9806629834254	0.8535911602209945
50	35	12	1101.0580110497237	0.787292817679558
5	45	16	557.7872928176796	0.7541436464088398
55	35	4	963.6602209944751	0.7817679558011049
55	55	12	1100.1546961325967	0.7955801104972375
50	25	8	908.5359116022099	0.7265193370165746
50	50	16	1007.3038674033149	0.8342541436464088
600	460	220	2744.209944751381	0.8480662983425414
200	180	80	1725.6187845303868	0.8425414364640884
45	35	4	934.060773480663	0.7707182320441989
5	6	4	243.96132596685084	0.3784530386740331
5	35	8	508.707182320442	0.7265193370165746
50	6	8	714.1381215469613	0.430939226519337
50	25	12	898.7651933701658	0.7486187845303868
950	695	355	4260.790055248619	0.8232044198895028
55	55	4	1054.9530386740332	0.8149171270718232
50	6	4	707.6160220994475	0.4447513812154696
60	120	40	1181.1850828729282	0.8480662983425414
25	15	4	686.7044198895028	0.6574585635359116
5	45	12	549.3066298342542	0.7430939226519337
35	45	12	873.328729281768	0.8121546961325967
60	60	50	1083.732044198895	0.8149171270718232
35	15	4	728.7955801104972	0.6795580110497238
50	35	4	929.5966850828729	0.7900552486187845
5	35	12	508.74585635359114	0.7044198895027625
300	250	70	2059.533149171271	0.8480662983425414
15	6	8	438.49171270718233	0.430939226519337
500	390	170	2430.232044198895	0.8287292817679558
45	25	16	878.7900552486187	0.7430939226519337
140	140	70	1447.732044198895	0.850828729281768
140	200	70	1464.635359116022	0.8535911602209945
35	55	16	899.560773480663	0.8370165745856354
80	60	16	1093.8729281767955	0.8480662983425414
35	25	4	841.9889502762431	0.7348066298342542
25	15	16	699.9337016574585	0.6546961325966851
15	15	4	534.5524861878453	0.649171270718232
100	60	50	1216.2513812154696	0.8370165745856354
1100	730	400	4922.618784530387	0.8342541436464088
15	50	16	694.4309392265193	0.7790055248618785
50	50	8	1024.364640883978	0.8259668508287292
5	50	4	572.1325966850828	0.7430939226519337
25	55	8	799.6795580110497	0.8093922651933702
80	100	16	1241.7182320441989	0.8397790055248618
400	320	120	2244.745856353591	0.8480662983425414
15	55	16	690.8977900552486	0.787292817679558
50	6	16	695.1961325966851	0.4585635359116022
160	200	70	1766.4309392265193	0.8425414364640884
1500	1100	600	7223.386740331492	0.8314917127071824
900	670	340	4182.422651933702	0.8259668508287292
100	120	30	1365.4944751381215	0.8591160220994475
80	80	30	1212.6795580110497	0.8342541436464088
55	55	8	1051.0773480662983	0.8287292817679558
5	55	16	596.3066298342542	0.7430939226519337
525	350	200	2376.4558011049726	0.8425414364640884
15	25	4	566.3232044198895	0.7486187845303868
80	80	40	1242.585635359116	0.8397790055248618
15	25	16	573.0662983425415	0.7209944751381215
500	400	200	2417.7872928176794	0.850828729281768
100	100	30	1296.745856353591	0.8674033149171271
100	100	40	1267.46408839779	0.850828729281768
45	6	4	650.1685082872929	0.4530386740331492
50	15	16	793.2734806629834	0.6546961325966851
5	55	4	586.2292817679559	0.7651933701657458
15	45	4	662.4558011049724	0.7541436464088398
25	55	4	824.5414364640884	0.7707182320441989
80	120	40	1251.207182320442	0.861878453038674
35	50	8	935.0220994475138	0.7955801104972375
45	45	12	961.3011049723757	0.8066298342541437
45	55	4	990.9198895027624	0.8342541436464088
25	6	4	489.1767955801105	0.46408839779005523
45	25	8	835.7237569060774	0.7762430939226519
25	6	8	495.44198895027625	0.4530386740331492
25	45	16	800.6022099447514	0.787292817679558
120	80	50	1315.2292817679559	0.8453038674033149
55	35	12	975.5773480662983	0.7955801104972375
45	6	8	656.0220994475138	0.45027624309392267
5	55	12	590.0441988950276	0.7624309392265194
50	25	4	898.0497237569061	0.7569060773480663
35	45	8	898.853591160221	0.8121546961325967
15	15	8	540.0718232044198	0.643646408839779
55	45	8	1003.0027624309392	0.8011049723756906
35	6	8	572.8591160220994	0.46685082872928174
15	50	4	684.914364640884	0.7651933701657458
45	35	12	894.4033149171271	0.8038674033149171
60	80	30	1120.9723756906078	0.8397790055248618
120	100	30	1308.3370165745857	0.8425414364640884
200	180	70	1651.7154696132598	0.856353591160221
15	45	12	659.3701657458563	0.7707182320441989
45	15	12	777.8232044198895	0.6574585635359116
450	530	260	2612.027624309392	0.8453038674033149
200	200	100	1702.2900552486187	0.8646408839779005
35	15	8	753.1574585635359	0.6353591160220995
50	6	12	700.9834254143647	0.4447513812154696
80	100	40	1335.6436464088397	0.8370165745856354
55	35	8	960.621546961326	0.787292817679558
5	15	4	366.2209944751381	0.6049723756906077
35	25	16	829.0055248618785	0.7513812154696132
25	25	12	735.5414364640884	0.7320441988950276
55	50	16	1049.254143646409	0.8011049723756906
55	25	12	949.7513812154696	0.7348066298342542
750	565	280	3267.4005524861877	0.8287292817679558
35	50	4	952.0331491712707	0.8038674033149171
55	25	16	904.4751381215469	0.7569060773480663
15	35	16	639.9502762430939	0.7458563535911602
25	25	8	752.7790055248619	0.7265193370165746
180	140	80	1615.7375690607735	0.8591160220994475
120	120	16	1398.1381215469614	0.8397790055248618
120	60	40	1280.0497237569061	0.8342541436464088
1050	745	385	4752.42817679558	0.8149171270718232
50	50	4	1006.0828729281768	0.8232044198895028
55	25	8	887.5359116022099	0.7541436464088398
35	55	12	961.1270718232045	0.8314917127071824
100	100	16	1343.4530386740332	0.8314917127071824
650	495	240	2817.3977900552486	0.8287292817679558
140	180	80	1554.7845303867402	0.856353591160221
35	6	16	599.5138121546961	0.43370165745856354
55	6	8	728.8093922651934	0.4696132596685083
100	80	30	1220.754143646409	0.8370165745856354
55	50	12	995.9861878453039	0.8259668508287292
120	100	50	1402.2983425414366	0.8535911602209945
120	120	50	1427.7127071823204	0.8370165745856354
825	640	300	3887.096685082873	0.850828729281768
60	100	50	1189.5414364640883	0.8480662983425414
5	50	8	565.1602209944751	0.7403314917127072
50	45	4	1031.3121546961327	0.7900552486187845
55	15	12	776.0303867403314	0.7182320441988951
35	15	12	730.0386740331492	0.6519337016574586
55	15	16	836.3977900552486	0.6270718232044199
425	300	80	2284.1519337016575	0.8453038674033149
675	500	220	3059.765193370166	0.8287292817679558
1000	720	370	4292.060773480663	0.8259668508287292
5	15	12	362.9088397790055	0.6132596685082873
35	6	12	560.5193370165746	0.48066298342541436
180	140	70	1591.4116022099447	0.856353591160221
5	25	16	452.84806629834253	0.7265193370165746
