simulations	actions	length	tokens	accuracy
50	55	12	1841.5662983425414	0.8011049723756906
45	45	4	1625.171270718232	0.787292817679558
100	160	40	3492.4944751381217	0.8425414364640884
100	100	50	2886.1243093922653	0.8535911602209945
25	25	4	978.9502762430939	0.7237569060773481
80	140	30	3054.8370165745855	0.8591160220994475
320	280	100	8038.168508287293	0.8535911602209945
190	190	70	5059.883977900552	0.850828729281768
80	70	8	2288.314917127072	0.8259668508287292
50	25	8	1264.342541436464	0.7348066298342542
50	50	16	1777.8508287292818	0.7928176795580111
200	180	80	5176.674033149171	0.8591160220994475
45	35	4	1416.6077348066299	0.7513812154696132
190	180	65	4770.580110497238	0.8591160220994475
70	80	8	2395.4585635359117	0.8453038674033149
50	25	12	1278.011049723757	0.7348066298342542
160	120	16	3717.7845303867402	0.8342541436464088
55	50	4	1774.2734806629835	0.8121546961325967
35	55	16	1412.1740331491712	0.7845303867403315
220	200	100	5690.450276243094	0.8535911602209945
50	15	4	978.146408839779	0.6298342541436464
15	15	4	530.3038674033149	0.5994475138121547
80	90	50	2555.328729281768	0.8287292817679558
100	90	40	2799.7624309392263	0.8204419889502762
200	200	40	5422.276243093923	0.8591160220994475
45	25	4	1225.6988950276243	0.7292817679558011
60	200	50	3162.977900552486	0.8397790055248618
45	25	8	1209.6546961325967	0.7265193370165746
90	100	30	2829.3674033149173	0.8342541436464088
35	6	8	656.939226519337	0.4585635359116022
60	50	8	1863.3121546961327	0.8121546961325967
140	60	16	2678.6657458563536	0.8425414364640884
60	30	50	1462.2348066298343	0.7458563535911602
45	15	12	935.6878453038674	0.6629834254143646
15	15	12	551.6049723756906	0.6215469613259669
200	170	60	4960.475138121547	0.8425414364640884
35	6	16	646.4861878453039	0.43370165745856354
170	160	80	4389.759668508287	0.850828729281768
55	45	4	1701.8977900552486	0.7928176795580111
50	45	4	1653.375690607735	0.787292817679558
120	80	90	2726.759668508287	0.8232044198895028
160	180	80	4400.972375690608	0.850828729281768
360	280	60	8751.569060773481	0.8287292817679558
45	35	16	1461.9668508287293	0.7596685082872928
80	140	50	3162.265193370166	0.8314917127071824
60	90	12	2406.781767955801	0.8397790055248618
45	55	8	1777.8701657458564	0.7928176795580111
160	60	60	3001.265193370166	0.8259668508287292
50	90	12	2176.0911602209944	0.7983425414364641
