simulations	actions	length	tokens	accuracy
5	6	8	632.0652009097802	0.5413191811978771
29	14	14	6274.842304776345	0.5769522365428355
20	9	8	3164.842304776346	0.579226686884003
44	35	8	17528.128885519334	0.5291887793783169
30	14	16	6299.398786959818	0.5739196360879454
14	9	9	2451.777862016679	0.5807429871114481
18	9	8	2969.184988627748	0.577710386656558
32	21	8	9006.185746777863	0.5435936315390447
44	34	8	16991.77786201668	0.5344958301743745
40	14	14	7543.652767247915	0.5579984836997726
34	14	14	6777.056103108415	0.5769522365428355
16	8	12	2482.854435178165	0.5883244882486732
22	8	11	3036.498104624716	0.5875663381349507
28	17	8	7040.929492039424	0.5534495830174374
31	14	14	6425.573161485974	0.5678544351781653
44	33	8	17038.82486732373	0.533737680060652
16	8	10	2450.166034874905	0.5693707354056103
42	14	14	7815.247915087187	0.5595147839272175
29	14	14	6177.561789234268	0.5526914329037149
22	8	9	2992.4874905231236	0.5708870356330553
46	14	14	8255.557240333586	0.5693707354056103
18	7	8	2357.9636087945414	0.576194086429113
36	14	14	7140.172100075815	0.576194086429113
44	20	20	11137.84306292646	0.5572403335860501
30	14	18	6385.912812736922	0.5670962850644428
12	8	8	2000.620166793025	0.574677786201668
14	9	8	2472.570887035633	0.5663381349507203
22	8	8	2997.398028809704	0.5815011372251706
20	8	10	2816.4601971190295	0.5648218347232752
12	8	10	1947.2039423805913	0.5731614859742229
29	14	16	6290.915087187263	0.5724033358605004
40	31	8	14648.920394238059	0.5534495830174374
31	14	18	6457.222137983321	0.5678544351781653
32	14	16	6680.369219105383	0.5708870356330553
32	14	14	6774.247156937074	0.574677786201668
18	8	12	2646.9552691432905	0.5830174374526156
31	14	14	6348.894617134192	0.5610310841546626
23	13	11	4868.493555724033	0.5640636846095527
30	14	16	6403.201667930251	0.5572403335860501
36	14	16	7029.644427596664	0.5579984836997726
16	8	9	2443.96739954511	0.576194086429113
28	19	8	7620.04473085671	0.5610310841546626
31	14	16	6401.297194844579	0.5815011372251706
42	20	20	10705.470053070509	0.5595147839272175
46	14	14	8319.907505686126	0.558756633813495
29	14	18	6123.726307808946	0.577710386656558
41	20	14	10646.092494313874	0.5648218347232752
32	16	12	7325.680060652009	0.5830174374526156
12	8	9	1962.1592115238818	0.5799848369977255
36	14	16	7213.33813495072	0.5579984836997726
36	26	8	12121.498104624716	0.5291887793783169
14	8	10	2278.8324488248672	0.5799848369977255
29	14	18	6311.985595147839	0.5701288855193328
20	8	8	2846.7467778620166	0.5572403335860501
36	25	8	11738.16072782411	0.5291887793783169
30	14	14	6275.342683851402	0.5663381349507203
32	22	8	9471.081880212281	0.5564821834723275
16	9	8	2711.9529946929492	0.5716451857467779
40	30	8	14334.217589082638	0.5405610310841547
14	8	8	2246.9764973464744	0.5716451857467779
32	14	14	6520.0219863532975	0.5708870356330553
38	14	14	7418.410917361638	0.5511751326762699
32	23	8	9807.532221379834	0.555724033358605
20	8	11	2831.0788476118273	0.5739196360879454
38	14	14	7397.680060652009	0.5663381349507203
32	14	16	6489.581501137225	0.5625473843821076
18	8	11	2685.799848369977	0.5640636846095527
16	8	8	2452.2600454890066	0.5648218347232752
