simulations	actions	length	tokens	accuracy
20	14	18	3288.8506444275968	0.5640636846095527
15	11	12	2049.48673237301	0.5511751326762699
17	6	13	1850.9764973464746	0.5807429871114481
19	15	18	2843.1630022744503	0.5701288855193328
17	14	18	2046.647460197119	0.5701288855193328
20	9	11	3303.840788476118	0.576194086429113
26	18	14	5542.817285822593	0.5716451857467779
22	13	15	5590.57846853677	0.5724033358605004
17	8	10	2618.9529946929492	0.577710386656558
23	14	18	6117.7278241091735	0.5860500379075056
19	12	18	4611.924943138742	0.5936315390447309
25	18	15	5510.488248673238	0.5625473843821076
23	12	8	5111.7899924184985	0.5890826383623957
24	18	14	4193.404852160727	0.576194086429113
21	10	11	3994.7824109173616	0.5860500379075056
20	14	15	3241.8294162244124	0.558756633813495
24	15	17	6826.770280515542	0.5845337376800607
24	18	15	4112.090978013647	0.576194086429113
25	15	16	7341.484457922668	0.5784685367702805
25	15	15	7116.73540561031	0.6019711902956786
23	18	15	3428.9438968915847	0.5708870356330553
19	10	15	3813.035633055345	0.5921152388172858
19	8	9	2794.3623957543596	0.5868081880212282
23	18	14	3450.991660348749	0.574677786201668
19	8	17	2863.481425322214	0.5663381349507203
33	22	15	13651.701288855193	0.579226686884003
21	16	16	3279.429112964367	0.5617892342683851
24	15	17	6902.408642911297	0.5815011372251706
27	18	18	9755.348749052313	0.5943896891584534
24	15	15	6853.741470811221	0.5837755875663382
23	18	15	3507.9469294920395	0.5670962850644428
24	18	14	4359.987869598181	0.5610310841546626
21	11	12	4278.434420015163	0.5731614859742229
17	15	17	2071.7316148597424	0.558756633813495
24	18	15	4230.73540561031	0.5625473843821076
25	15	16	7282.959059893859	0.5769522365428355
24	15	16	6835.7361637604245	0.5807429871114481
25	18	15	5407.677028051554	0.5799848369977255
23	16	15	4294.680060652009	0.5769522365428355
26	18	18	5572.729340409401	0.5731614859742229
19	8	16	2877.1326762699014	0.5701288855193328
23	15	16	6656.526156178923	0.5769522365428355
18	16	16	2387.4420015163	0.5625473843821076
23	12	11	5178.793783169068	0.5830174374526156
25	18	14	5462.755875663382	0.555724033358605
19	16	12	2615.991660348749	0.5739196360879454
19	12	12	4628.485974222896	0.5731614859742229
22	13	14	5571.5761940864295	0.5769522365428355
19	12	15	4667.109931766489	0.5852918877937832
18	7	15	2143.532221379833	0.5815011372251706
21	11	14	4379.5670962850645	0.5890826383623957
23	14	17	6200.542077331312	0.5784685367702805
17	15	18	2041.1743745261563	0.5481425322213799
14	11	10	1521.8673237300986	0.5579984836997726
17	13	11	2098.185746777862	0.5686125852918877
11	9	9	1074.5238817285822	0.5549658832448825
25	18	18	5567.107657316149	0.5633055344958302
18	14	13	2554.843821076573	0.5572403335860501
20	12	16	4727.991660348749	0.5716451857467779
25	15	15	7344.082638362395	0.5822592873388931
26	18	14	5721.172858225928	0.5845337376800607
17	12	11	2379.166793025019	0.5579984836997726
19	10	18	3788.779378316907	0.579226686884003
23	15	17	6646.222137983321	0.5799848369977255
24	16	12	7628.208491281273	0.5739196360879454
21	15	12	3802.524639878696	0.5640636846095527
27	18	13	9481.617892342683	0.5830174374526156
23	12	18	5256.337376800607	0.5807429871114481
26	15	15	7314.680818802123	0.5807429871114481
37	24	16	16461.429112964368	0.5852918877937832
19	16	16	2696.21379833207	0.5572403335860501
21	15	11	3848.5587566338136	0.5564821834723275
27	18	18	9413.56406368461	0.5799848369977255
21	10	12	4086.953752843063	0.5913570887035633
17	11	18	3823.8460955269143	0.5807429871114481
19	10	16	3898.2987111448065	0.5670962850644428
26	18	18	5547.918119787718	0.5716451857467779
23	16	15	4330.971190295679	0.5830174374526156
26	15	15	7316.257012888552	0.574677786201668
24	15	16	6874.208491281273	0.5928733889310084
26	18	15	5595.253980288097	0.5708870356330553
23	18	14	3523.686125852919	0.5617892342683851
19	10	13	3783.4063684609555	0.5784685367702805
17	13	13	2110.4852160727824	0.5678544351781653
17	6	9	1838.1948445792266	0.5860500379075056
23	18	18	3466.313874147081	0.5511751326762699
24	16	16	7696.398028809705	0.5921152388172858
22	16	16	4327.564063684609	0.5708870356330553
18	9	11	3073.880212282032	0.5875663381349507
19	9	10	3274.2418498862776	0.576194086429113
23	15	17	6679.16906747536	0.5701288855193328
18	13	14	2906.17513267627	0.5572403335860501
